"BIBTEXKEY","TITLE","final_decision","exclusion_reason","manual_decision"
"boudewijnsHeadroomAnalysisEarly2023","Headroom analysis for early economic evaluation: a systematic review","include","included_by_automation","unreviewed"
"botwrightHowUncertaintyCharacterised2023","How is uncertainty characterised in policy analysis and which approaches are relevant to health technology assessment ({HTA})? {A} scoping review protocol","include","included_by_automation","unreviewed"
"bostromMethodsCommunicatingComplexity2015","Methods for communicating the complexity and uncertainty of oil spill response actions and tradeoffs","include","included_by_automation","unreviewed"
"bostromCommunicationYearbook2012","Communication yearbook 7","include","included_by_automation","unreviewed"
"boselloAdaptingMitigatingClimate2011","Adapting and mitigating to climate change: balancing the choice under uncertainty","include","included_by_automation","unreviewed"
"boselliPublicServiceIntelligence2011","Public service intelligence: evaluating how the public sector can exploit decision support systems","include","included_by_automation","unreviewed"
"boseElicitingAmbiguousBeliefs2022","Eliciting ambiguous beliefs using constructed ambiguous acts: alpha-maxmin","include","included_by_automation","unreviewed"
"borzacchielloSocioeconomicBenefitsUse2011","Socio-economic benefits from the use of {Earth} observation","include","included_by_automation","unreviewed"
"borrePotentialCosteffectivenessNovel2023","The potential cost-effectiveness of novel cord blood therapies in children with autism spectrum disorder","include","included_by_automation","unreviewed"
"borreEstimatedMonetaryValue2022","Estimated monetary value of future research clarifying uncertainties around the optimal adult hearing screening schedule","include","included_by_automation","unreviewed"
"borreDevelopmentValidationDeciBHALUS2022","Development and validation of {DeciBHAL}-{US}: a novel microsimulation model of hearing loss across the lifespan in the {United} {States}","include","included_by_automation","unreviewed"
"borowitzExaminingValueSatellite2023","Examining the value of satellite data in halting transmission of polio in {Nigeria}: a socioeconomic analysis","include","included_by_automation","unreviewed"
"borowiczContractsRegulationModel2016","Contracts as regulation model: applications and legal implications in over-the-counter financial markets","include","included_by_automation","unreviewed"
"borodinHandlingUncertaintyAgricultural2016","Handling uncertainty in agricultural supply chain management: a state of the art","include","included_by_automation","unreviewed"
"bornGlobalMetaanalysisClimate2021","A global meta-analysis of climate services and decision-making in agriculture","include","included_by_automation","unreviewed"
"borgonovoCommonRationaleGlobal2016","A common rationale for global sensitivity measures and their estimation","include","included_by_automation","unreviewed"
"bordleyLessonsDecisionAnalysisPractice2022","Lessons for decision-analysis practice from the automotive industry","include","included_by_automation","unreviewed"
"boothSavingLivesProtecting2021","“saving lives, protecting livelihoods, and safeguarding nature”: risk-based wildlife trade policy for sustainable development outcomes post-{COVID}-19","include","included_by_automation","unreviewed"
"boothExpertElicitationEffects2021a","An expert elicitation of the effects of low salinity water exposure on bottlenose dolphins. {Oceans} 2021, 2, 179–192","include","included_by_automation","unreviewed"
"boothExpertElicitationEffects2021","An expert elicitation of the effects of low salinity water exposure on bottlenose dolphins","include","included_by_automation","unreviewed"
"boonsiritomachaiExploringBusinessIntelligence2016","Exploring business intelligence and its depth of maturity in thai {SMEs}","include","included_by_automation","unreviewed"
"boonenCostofillnessEconomicEvaluations2016","Cost-of-illness and economic evaluations in axial spondyloarthritis","include","included_by_automation","unreviewed"
"boolakyBankDirectorsPerceptions2016","Bank directors' perceptions of expanded auditor's reports","exclude","doi_duplicate","unreviewed"
"bonestrooRalHesisNo","Ral {T} hesis no","include","included_by_automation","unreviewed"
"bondModelingInformationEnvironmental2011","Modeling information in environmental decision-making","include","included_by_automation","unreviewed"
"bondDynamicDecisionPolicy2021","Dynamic decision policy reconfiguration under outcome uncertainty","include","included_by_automation","unreviewed"
"bondCompetitionActionPlans2022","Competition between action plans tracks with evidence accumulation during flexible decision-making","include","included_by_automation","unreviewed"
"bondCompetingNeuralRepresentations2022","Competing neural representations of choice shape evidence accumulation in humans","include","included_by_automation","unreviewed"
"bonaccorsiFunctionalTheoryTechnology2011","A functional theory of technology and technological change","include","included_by_automation","unreviewed"
"bolotnikovaObOdnomMetode2011","Об одном методе оценки онтологий","exclude","curator_marked_bin","exclude"
"bolotnikovaMethodEvaluatingOntologies2011","To a method of evaluating ontologies","include","included_by_automation","unreviewed"
"bolineniIndianPharmaceuticalIndustry2016","The indian pharmaceutical industry's supply chain management strategies","include","included_by_automation","unreviewed"
"bolamUsingValueInformation2019","Using the value of information to improve conservation decision making","include","included_by_automation","unreviewed"
"bolamAddressingUncertaintyLimited2018","Addressing uncertainty and limited data in conservation decision-making","include","included_by_automation","unreviewed"
"bojkeLeedsInstituteHealth","Leeds institute of health sciences","include","included_by_automation","unreviewed"
"bojkeDevelopingReferenceProtocol2021","Developing a reference protocol for structured expert elicitation in health-care decision-making: a mixed-methods study","exclude","title_duplicate","unreviewed"
"bogliacinoLessMoreInformation2023","Less is more: information overload in the labelling of fish and aquaculture products","include","included_by_automation","unreviewed"
"bogliacinoCitizensExpertsInteractions2019","Citizens–experts' interactions under different institutional arrangements: assessing the role of uncertainty, interests, and values","exclude","doi_duplicate","unreviewed"
"boettigerForecastTrap2022a","The forecast trap","include","included_by_automation","unreviewed"
"bodnerBridgingDivideEcological2021","Bridging the divide between ecological forecasts and environmental decision making","include","included_by_automation","unreviewed"
"bodeRevealingBeliefsUsing2017","Revealing beliefs: using ensemble ecosystem modelling to extrapolate expert beliefs to novel ecological scenarios","include","included_by_automation","unreviewed"
"boberVALUECHAINNETWORKING2016","Value chain in a networking organization","include","included_by_automation","unreviewed"
"blumlAlphaZeAlphaZerolikeBaselines2023","{AlphaZe}: {AlphaZero}-like baselines for imperfect information games are surprisingly strong","exclude","doi_duplicate","unreviewed"
"blinnEmpowerTechnicalCustomer2011","Empower technical customer services in value-added networks: a design science approach focusing process-oriented mobile assistant systems","include","included_by_automation","unreviewed"
"bledsoeAssetManagementMobility2023","Asset management for mobility and {ITS}","include","included_by_automation","unreviewed"
"blanchardSystemsEngineeringReference2011","A systems engineering reference model for fuel cell power systems development","include","included_by_automation","unreviewed"
"blackParadigmShiftIntroduction2015a","A paradigm shift: an introduction to structured decision making for sustainable waste management and remediation–15649","include","included_by_automation","unreviewed"
"blackEarlyInformationSociety2016","The early information society: information management in britain before the computer","include","included_by_automation","unreviewed"
"bjornssonDecisionSupportFramework2019","Decision support framework for bridge condition assessments","include","included_by_automation","unreviewed"
"bjornsenSemiquantitativeAssessmentProcess2019","A semi-quantitative assessment process for improved use of the expected value of information measure in safety management","include","included_by_automation","unreviewed"
"bitzerUtilityClueFormalisation2016","Utility of the clue. {Formalisation} of the decision to analyse a trace and insights into the evaluation of the investigative contribution of forensic science","include","included_by_automation","unreviewed"
"bitzerUtilityClue2016","Utility of the clue","include","included_by_automation","unreviewed"
"bistlineNaturalGasUncertainty2014","Natural gas, uncertainty, and climate policy in the {US} electric power sector","include","included_by_automation","unreviewed"
"bistlineElectricSectorInvestments2013","Electric sector investments under technological and policy-related uncertainties: a stochastic programming approach","include","included_by_automation","unreviewed"
"bistlineElectricSectorCapacity2015c","Electric sector capacity planning under uncertainty: climate policy and natural gas in the {US}","include","included_by_automation","unreviewed"
"bistlineCapacityRiskMetric2022","Capacity at risk: a metric for robust planning decisions under uncertainty in the electric sector","include","included_by_automation","unreviewed"
"bismutReliabilitybasedInspectionMaintenance2022","Reliability-based inspection and maintenance planning of a nuclear feeder piping system","include","included_by_automation","unreviewed"
"bismutOptimalHeuristicStrategies2022","Optimal heuristic strategies for risk-and reliability-based inspection and maintenance planning","include","included_by_automation","unreviewed"
"bismutOptimalAdaptiveInspection2021","Optimal adaptive inspection and maintenance planning for deteriorating structural systems","include","included_by_automation","unreviewed"
"bishopSequentialStochasticOptimization2021","Sequential stochastic optimization in separable learning environments","include","included_by_automation","unreviewed"
"bisasoUtilisingLearningOrganization2011","Utilising the learning organization for management capacity building at makerere university","include","included_by_automation","unreviewed"
"birisciOptimizingProductionInventory2016","Optimizing production and inventory decisions at all-you-care-to-eat facilities","include","included_by_automation","unreviewed"
"birdUncertaintyPopulationEstimates2021","Uncertainty in population estimates: a meta-analysis for petrels","include","included_by_automation","unreviewed"
"birantMultiviewRankbasedRandom2022","Multi-view rank-based random forest: a new algorithm for prediction in {eSports}","include","included_by_automation","unreviewed"
"bingleyAdoptionInternetLocal","Adoption of the internet in local sporting bodies: an innovation diffusion approach","include","included_by_automation","unreviewed"
"bindiFrameworkImplementingCloud2016","A framework for implementing cloud based enterprise resource planning ({ERP}) in the transport business sector in {Zimbabwe}","include","included_by_automation","unreviewed"
"bilousovaInformationProvisionAssessment2016","Information provision of the assessment system in the economic security studies: fundamentals = інформаційне забезпечення оцінної системи в економічній безпекологі: основні положення","exclude","title_duplicate","unreviewed"
"bikhchandaniDecreasingMarginalValue2013","Decreasing marginal value of information under symmetric loss","include","included_by_automation","unreviewed"
"biImpactInformationTransparency2022","The impact of information transparency on trade credit: the mediation role of risk","include","included_by_automation","unreviewed"
"bierRoleDecisionAnalysis2020a","The role of decision analysis in risk analysis: a retrospective","include","included_by_automation","unreviewed"
"bielzaReviewRepresentationIssues2011","A review of representation issues and modeling challenges with influence diagrams","include","included_by_automation","unreviewed"
"bidarImpactElectronicallyenabledSupply2011","The impact of electronically-enabled supply chains on channel relationships and firm performance","include","included_by_automation","unreviewed"
"bickelPresidentLetter","President's letter","exclude","title_duplicate","unreviewed"
"biceClosedloopSupplyChain2021a","Closed-loop supply chain network design under demand, return and quality uncertainty","include","included_by_automation","unreviewed"
"bicchieriWHYDIDTHEY","Why did they march? {Networks}, beliefs, and policy change","include","included_by_automation","unreviewed"
"bhushanImpactITGovernance","Impact of {IT} governance on the performance and sustainability of enterprises","include","included_by_automation","unreviewed"
"bhogalExtentDecisionmakingCriteria2022","The extent of decision-making criteria included in procurement legislation at transnet port termianls ({TPT})","include","included_by_automation","unreviewed"
"bhattacharyaImpactRFIDRetail2011","Impact of {RFID} on retail value chain: a mixed method study","include","included_by_automation","unreviewed"
"bhattacharyaFeasibilityDeterminingEffectiveness2016","The feasibility of determining the effectiveness and cost-effectiveness of medication organisation devices compared to usual care for older people in a community setting: systematic review, stakeholder focus groups and feasibility {RCT}","include","included_by_automation","unreviewed"
"bhattacharyaEconomicEvaluation2016","Economic evaluation","exclude","title_duplicate","unreviewed"
"bhattacharyaDelphiStudyRFID2011a","A delphi study of {RFID} applicable business processes and value chain activities in retail","include","included_by_automation","unreviewed"
"bhattacharjyaValueInformationVariations2014a","The value of information in some variations of the stopping problem","include","included_by_automation","unreviewed"
"bhattacharjyaHedgingRewardAugmentation2022","Hedging as reward augmentation in probabilistic graphical models","include","included_by_automation","unreviewed"
"bhandariMultistakeholderPerspectivesDigital2022","Multi-stakeholder perspectives on digital tools for {US} asylum applicants seeking healthcare and legal information","include","included_by_automation","unreviewed"
"bhalManagingFlexibilityPeople2016","Managing flexibility: people, process, technology and business","include","included_by_automation","unreviewed"
"bhallaEndogenousOrderInformation2011","Endogenous order and information aggregation","include","included_by_automation","unreviewed"
"colemanPiecingTogetherJigsaw2016","Piecing together the jigsaw: applied investment theory","include","included_by_automation","unreviewed"
"colburnNecessarilyUnpredictableOil2011","Necessarily unpredictable - oil spill risks beyond the horizon","include","included_by_automation","unreviewed"
"colbournCosteffectivenessAffordabilityCommunity2015","Cost-effectiveness and affordability of community mobilisation through women's groups and quality improvement in health facilities ({MaiKhanda} trial) in {Malawi}","include","included_by_automation","unreviewed"
"cohenPreprintNotPreprint2022","To preprint or not to preprint? {An} evolving landscape for the dissemination of health economics and outcomes research","include","included_by_automation","unreviewed"
"cohenExcloseNestsNot2016a","To exclose nests or not: structured decision making for the conservation of a threatened species","include","included_by_automation","unreviewed"
"codyNewsEventPopular2023","The news event: popular sovereignty in the age of deep mediatization","include","included_by_automation","unreviewed"
"clementModulationActiveExploratory2016","Modulation of active exploratory behaviors in humans","include","included_by_automation","unreviewed"
"coccoIntegratingEarlyEconomic2021","Integrating early economic evaluation into target product profile development for medical tests: advantages and potential applications","include","included_by_automation","unreviewed"
"clementActualisationPartielleGuide","Actualisation partielle du guide méthodologique pour l'évaluation économique des stratégies de santé","exclude","curator_marked_bin","exclude"
"clemenMakingHardDecisions2013","Making hard decisions with {DecisionTools}","include","included_by_automation","unreviewed"
"claxtonHowEstimateHealth2015","How to estimate the health benefits of additional research and changing clinical practice","include","included_by_automation","unreviewed"
"clarkWhyArePandemics2021","Why are pandemics ideological?","include","included_by_automation","unreviewed"
"clarkTechnologyDevelopmentFramework2023","Technology development framework: moving from qualitative toward quantitative decision-making","include","included_by_automation","unreviewed"
"clarkTechnologyDevelopmentFramework2022","Technology development framework: moving from qualitative to quantitative decision-making","include","included_by_automation","unreviewed"
"clarkeSeekingPatientcenteredSolutions2011","Seeking patient-centered solutions to a national epidemic","include","included_by_automation","unreviewed"
"clarkeCostutilityAnalysisMajor2022","Cost-utility analysis of major system change in specialist cancer surgery in {London}, england, using linked patient-level electronic health records and difference-in-differences analysis","include","included_by_automation","unreviewed"
"clarkAdaptiveManagementTool2022","Adaptive management as a tool for effective environmental management of deep-sea mining","include","included_by_automation","unreviewed"
"cizikVariationsSurgeonTreatment2016","Variations in surgeon treatment preferences and the impact on the cost-utility of surgery for soft tissue sarcoma","include","included_by_automation","unreviewed"
"ciuchiManagingKnowledgeData2011","Managing knowledge and data for a better decision in public administration","include","included_by_automation","unreviewed"
"citroenRoleInformationStrategic2011","The role of information in strategic decision-making","include","included_by_automation","unreviewed"
"cirankaUncertaintyDrivesSocial2022","Uncertainty drives social information use in risky choice across adolescence","include","included_by_automation","unreviewed"
"ciprianoOptimalInformationCollection2018","Optimal information collection policies in a markov decision process framework","include","included_by_automation","unreviewed"
"cioccoPrototypeStructuredDecision2022","A prototype of structured decision making with ecological modeling for tribal agricultural resource management plans","include","included_by_automation","unreviewed"
"cinelliSupportingContaminatedSites2021","Supporting contaminated sites management with multiple criteria decision analysis: demonstration of a regulation-consistent approach","include","included_by_automation","unreviewed"
"cimbalaArmsUncertaintyNuclear2016","Arms for uncertainty: nuclear weapons in {US} and russian security policy","include","included_by_automation","unreviewed"
"ciminoFosteringDistributedBusiness","Fostering distributed business logic in open collaborative networks: an integrated approach 2 based on semantic and swarm coordination 3","include","included_by_automation","unreviewed"
"cicchettiEE128FacingChallenge2022","{EE128} facing the challenge of ageing: cost-effectiveness of the {SPRINT}-{T} protocol","include","included_by_automation","unreviewed"
"chungEnterpriseSocialSoftware","Enterprise social software","include","included_by_automation","unreviewed"
"chungDoingBusinessSuccessfully2011","Doing business successfully in {China}","include","included_by_automation","unreviewed"
"chuehCostEffectivenessAnalysisNew2023","Cost-effectiveness analysis of a new second-line treatment regimen for advanced intrahepatic cholangiocarcinoma: biomarker-driven targeted therapy of pemigatinib versus 5-{FU} chemotherapy","include","included_by_automation","unreviewed"
"chudleighResultsPhaseImplementation2022","Results of phase 3: implementation, feasibility and evaluation of the co-designed interventions","include","included_by_automation","unreviewed"
"chrysafiQuantifyingEarthSystem2022","Quantifying earth system interactions for sustainable food production via expert elicitation","include","included_by_automation","unreviewed"
"chrysafiElicitingExpertKnowledge2019","Eliciting expert knowledge to inform stock status for data-limited stock assessments","include","included_by_automation","unreviewed"
"christofiTacklingPandemicrelatedHealth2023","Tackling pandemic-related health grand challenges: the role of organizational ambidexterity, social equality, and innovation performance","include","included_by_automation","unreviewed"
"christakosOperationalEpibraimatics2011","Operational epibraimatics","include","included_by_automation","unreviewed"
"choudharyModelManagingReturns2022","A model for managing returns in a circular economy context: a case study from the indian electronics industry","include","included_by_automation","unreviewed"
"chongPerformanceMeasurementSystems2023","Performance measurement systems design choice: the roles of political connections and social networking on firm performance–evidence from {China}","include","included_by_automation","unreviewed"
"chokriTargetAllocationUncertainty2011","Target allocation under uncertainty during the vehicle development process","include","included_by_automation","unreviewed"
"choiTeamingEnemyFirms","Teaming up with the enemy: firms and the information environment of climate regime","include","included_by_automation","unreviewed"
"choiRecentDevelopmentBig2016","Recent development in big data analytics for business operations and risk management","include","included_by_automation","unreviewed"
"choiInformationSystemsFashion2016","Information systems for the fashion and apparel industry","include","included_by_automation","unreviewed"
"choiMoralHazardPower2016","Moral hazard, power, and risk sharing in scan-based trading","include","included_by_automation","unreviewed"
"choiAnalysisKeywordNetworks2011","Analysis of keyword networks in {MIS} research and implications for predicting knowledge evolution","include","included_by_automation","unreviewed"
"choiAchievingEconomicSustainability2022","Achieving economic sustainability: operations research for risk analysis and optimization problems in the blockchain era","include","included_by_automation","unreviewed"
"chmielewskaGeneticAlgorithmAutomated2020a","Genetic algorithm as automated valuation model component in real estate investment decisions system","include","included_by_automation","unreviewed"
"chlevickaiteModelInsiderWitness2023","Towards a model of (insider) witness assessments in international crime cases: an experimental vignette study","include","included_by_automation","unreviewed"
"chitEconomicEvaluationVaccines2016","Economic evaluation of vaccines in {Canada}: a systematic review","include","included_by_automation","unreviewed"
"chioncelNatriureticPeptideguidedManagement2016","Natriuretic peptide-guided management in heart failure","include","included_by_automation","unreviewed"
"chinExplorationUncertaintiesTranslating2016","An exploration of uncertainties in translating {CO2} emissions data for the evaluation of private investment risk","include","included_by_automation","unreviewed"
"chikobvuEfficiencyIndicatorTool2016","An efficiency indicator tool for managing resource expenditure in public central hospitals","include","included_by_automation","unreviewed"
"chirkunovModernLookUncertainty2021","Modern look at uncertainty in conceptual geological modelling. {Development} of the decision support system for petroleum exploration","include","included_by_automation","unreviewed"
"chikhiGoingBlockchainAdoption2022","Going beyond blockchain adoption's hype to improve supply chain sustainability: evidence from empirical and modelling studies","include","included_by_automation","unreviewed"
"chhedaOptimizingPetroleumExploration2021","Optimizing petroleum exploration decisions under geological uncertainty","include","included_by_automation","unreviewed"
"chiauzziCrowdsourcingAdvancementsHealth2016","Crowdsourcing advancements in health care research: applications for cancer treatment discoveries","include","included_by_automation","unreviewed"
"chiangAugmentedRealityInteractive2022","Augmented reality interactive technology and interfaces: a construal-level theory perspective","include","included_by_automation","unreviewed"
"chhayaUsingManagedEntry2021","Using managed entry agreements as an effective tool to handle the uncertainty in health technology assessments","include","included_by_automation","unreviewed"
"cheungPAPERSACTUARIALJOURNALS","Papers from actuarial journals worldwide","include","included_by_automation","unreviewed"
"chenUsingImagesDetect2023","Using images to detect, plan, analyze, and coordinate a smart contract in construction","include","included_by_automation","unreviewed"
"chenSubmodularSurrogatesValue2015","Submodular surrogates for value of information","include","included_by_automation","unreviewed"
"chenSensitivityAnalysisSequential2017","Sensitivity analysis in sequential decision models: a probabilistic approach","include","included_by_automation","unreviewed"
"chenResearchMotivationalMechanisms2023","Research on motivational mechanisms and pathways for promoting public participation in environmental protection behavior","include","included_by_automation","unreviewed"
"chenResearchMarineEconomic2022","Research on marine economic development information management system based on supply chain technology","include","included_by_automation","unreviewed"
"chenPrecisionHealthEconomics2016","Precision health economics and outcomes research to support precision medicine: big data meets patient heterogeneity on the road to value","include","included_by_automation","unreviewed"
"chenOptimizedDecisionSupport2023","Optimized decision support for {BIM} maturity assessment","include","included_by_automation","unreviewed"
"chenOptimalLearningExperimental2015","Optimal learning in experimental design using the knowledge gradient policy with application to characterizing nanoemulsion stability","include","included_by_automation","unreviewed"
"chenMulticriteriaAnalysisSustainable2015","Multicriteria analysis of sustainable development indicators in the construction minerals industry in {China}","include","included_by_automation","unreviewed"
"chenLifeCycleModel2023","A life cycle model for evaluating estuary residency and recovery potential in chinook salmon","include","included_by_automation","unreviewed"
"chenInventoryPerformanceRelated2011","Inventory performance related to financial performance? {A} case study in manufacturing sector","include","included_by_automation","unreviewed"
"chengPredictingOutcomeNBA2016","Predicting the outcome of {NBA} playoffs based on the maximum entropy principle","include","included_by_automation","unreviewed"
"chengInterorganizationalRelationshipsInformation2011","Inter-organizational relationships and information sharing in supply chains","include","included_by_automation","unreviewed"
"chengDecisionModelingEvaluation2022","Decision modeling and evaluation of enterprise digital transformation using data mining","include","included_by_automation","unreviewed"
"chenEvaluatingValueMoney2023","Evaluating the value for money of precision medicine from early cycle to market access: a comprehensive review of approaches and challenges","include","included_by_automation","unreviewed"
"chenForaging2011","Foraging","include","included_by_automation","unreviewed"
"chenEfficientOnlineLearning2017","Efficient online learning for optimizing value of information: theory and application to interactive troubleshooting","include","included_by_automation","unreviewed"
"chenEffectsNegativeEmotions2023","Effects of negative emotions and information perceived value on residents' risk perception during the {COVID}-19 pandemic: an empirical survey from {China}","include","included_by_automation","unreviewed"
"chenDynamicRiskAssessment2022","Dynamic risk assessment for geologic {CO2} sequestration","include","included_by_automation","unreviewed"
"chenCustomerKnowledgeManagement2023","Customer knowledge management competence evaluation of agritourism enterprises by using the balanced scorecard and fuzzy-{AHP}: evidence from {Chengdu}-chongqing economic circle","include","included_by_automation","unreviewed"
"chenConstructingQuantilesForecast2023a","Constructing quantiles via forecast errors: theory and empirical evidence","include","included_by_automation","unreviewed"
"chenCollectingChannelSelection2023","Collecting channel selection and information value of a closed-loop supply chain with corporate social responsibility","include","included_by_automation","unreviewed"
"chenCanAIChatbots2023","Can {AI} chatbots help retain customers? {Impact} of {AI} service quality on customer loyalty","include","included_by_automation","unreviewed"
"chenBrainSystemsUnderlying2023","Brain systems underlying fundamental motivations of human social conformity","include","included_by_automation","unreviewed"
"chenActiveVisionRobotic2011","Active vision in robotic systems: a survey of recent developments","include","included_by_automation","unreviewed"
"chelstValueaddedDecisionMaking2011","Value-added decision making for managers","include","included_by_automation","unreviewed"
"cheeArchitectureAffectPrecarious2023","Architecture and affect: precarious spaces","include","included_by_automation","unreviewed"
"chelliahQuantifyingManagingScope2016","Quantifying and managing scope 3 (travel) carbon emissions in a {UK} university","include","included_by_automation","unreviewed"
"chauvenetHeLackClear2016","T he lack of a clear definition","include","included_by_automation","unreviewed"
"chaudhuriUseBayesianDecision2023","Use of bayesian decision analysis to maximize value in patient-centered randomized clinical trials in parkinson's disease","exclude","title_duplicate","unreviewed"
"chatzinikolaouEvaluationEcosystemServices2016","Evaluation of ecosystem services production under different agricultural policy scenarios","include","included_by_automation","unreviewed"
"chatterjiTasteProductionRole2023","Taste before production: the role of judgment in entrepreneurial idea generation","include","included_by_automation","unreviewed"
"chathothServiceAgentsRisk2023","Service agents' risk behavior and implications for co-creation","exclude","doi_duplicate","unreviewed"
"chatalovaMarketUncertaintyProject2016","Market uncertainty, project specifity and policy effects on bioenergy investments: a real options approach","include","included_by_automation","unreviewed"
"chartashInformaticsUndergraduateMedical2022","Informatics in undergraduate medical education: analysis of competency frameworks and practices across north america","include","included_by_automation","unreviewed"
"deverkaEarlyAssessmentTranslational2011","Early assessment of translational opportunities","include","included_by_automation","unreviewed"
"devCaseStudyRedesign2011","A case study on redesign of supply chain network of a manufacturing organization","include","included_by_automation","unreviewed"
"devarajanHealthcareOperationsBlack2021","Healthcare operations and black swan event for {COVID}-19 pandemic: a predictive analytics","exclude","title_duplicate","unreviewed"
"detrevilleEmpiricallyGroundingAnalytics2023","Empirically grounding analytics ({EGA}) research in the journal of operations management","include","included_by_automation","unreviewed"
"desousaMappingCharacteristicsMethodological2023","Mapping the characteristics, methodological quality and standards of reporting of network meta-analyses on antithrombotic therapies: an overview","include","included_by_automation","unreviewed"
"desmoulinsFrenchThinkTanks2016","French think tanks analysts and librarians: the cart of communication comes before the horse of knowledge","include","included_by_automation","unreviewed"
"deshmukhAdjuvantHPVVaccination2017","Adjuvant {HPV} vaccination for anal cancer prevention in {HIV}-positive men who have sex with men: the time is now","include","included_by_automation","unreviewed"
"desarbeitsvertragesFreieWahlmoduleFree","Freie wahlmodule{\textbar} free electives allgemeinbildung{\textbar} general education subject modulbeschreibung {LS30021}: arbeitsrecht{\textbar} labour law [{ArbR}]","include","included_by_automation","unreviewed"
"desanctisSystematicalBayesianApproach2015","A systematical bayesian approach for outcome-oriented fire service data collection","include","included_by_automation","unreviewed"
"deraadWordWelcome","A word of welcome","include","included_by_automation","unreviewed"
"depalmaHandbookTransportEconomics2011","A handbook of transport economics","exclude","title_duplicate","unreviewed"
"dentRoleInformationSystems2011","The role of information systems management in the management of water","include","included_by_automation","unreviewed"
"denneExpertSystemStored","An expert system for stored grain management","include","included_by_automation","unreviewed"
"denkenbergerLongTermCosteffectiveness2022","Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety","include","included_by_automation","unreviewed"
"dengMultistepPlanningCrowdsourcing2021","Multistep planning for crowdsourcing complex consensus tasks","include","included_by_automation","unreviewed"
"demkovaDecisionalValueInformation2021","The decisional value of information in european semi-automated decision-making","include","included_by_automation","unreviewed"
"dembeleDavidBartonYoussouf","Diagnosing agrosilvopastoral practices using bayesian networks","include","manually_included","include"
"demanProposalImprovementMidterm2011","A proposal for improvement of mid-term capacity planning for gates and remote stand at {Amsterdam} airport schiphol ({AAS})","include","included_by_automation","unreviewed"
"demandConsiderationsOnDemandWebBased2011","Considerations for on-demand, web-based publishing","include","included_by_automation","unreviewed"
"delongStakeholderdrivenAdaptiveResearch2022","Stakeholder-driven adaptive research ({SDAR}): better research products","include","included_by_automation","unreviewed"
"delerisVulnerabilityModelsAllowing","Vulnerability models allowing for incomplete information and imprecision application to eldercare","include","manually_included","include"
"dekwaastenietDemandVariabilitySupply","Demand variability in supply chains: the influence of global developments and globalization on the local dutch steel industry","include","included_by_automation","unreviewed"
"dekamDynamicProcessModeling2022","Dynamic process modeling of the logical antecedents and moderators of inter-organizational collaboration and the role of trust","include","included_by_automation","unreviewed"
"deitzInformationBehaviorsHigher","Information behaviors in higher education research administration: support for collaborative proposal development activities","include","included_by_automation","unreviewed"
"dehghanNewModelAlgorithm2011","A new model, algorithm and computer tool to optimize overlapping of design activities in construction projects","include","included_by_automation","unreviewed"
"degreesFarrokhMistree2011","Farrokh mistree","include","included_by_automation","unreviewed"
"decarvalhoChoosingMetamodelSimulation2022","Choosing a metamodel of a simulation model for uncertainty quantification","include","included_by_automation","unreviewed"
"debruinOptimalClimatePolicy2021a","Optimal climate policy with fat-tailed uncertainty: what the models can tell us. {ESRI} working paper 697 march 2021","include","included_by_automation","unreviewed"
"debruinOptimalClimatePolicy2021","Optimal climate policy with fat-tailed uncertainty: what the models can tell us","include","included_by_automation","unreviewed"
"deboerUnremarkedUnperformedSystematic2016","Unremarked or unperformed? {Systematic} review on reporting of validation efforts of health economic decision models in seasonal influenza and early breast cancer","exclude","doi_duplicate","unreviewed"
"deboerCosteffectivenessVaccinationStrategies2016","Cost-effectiveness of vaccination strategies to protect older adults","exclude","doi_duplicate","unreviewed"
"debelaSOCIALNETWORKPLURALISTIC2023","Social network in pluralistic seed system for climate change adaptation: eastern oromia, hararghe, ethiopia","include","included_by_automation","unreviewed"
"deandreaHowAffiliationDisclosure2016","How affiliation disclosure and control over user-generated comments affects consumer health knowledge and behavior: a randomized controlled experiment of pharmaceutical direct-to-consumer advertising on social media","include","included_by_automation","unreviewed"
"dayWorkshop17December2011","Workshop, 1-7 december 2011, melbourne, australia","include","included_by_automation","unreviewed"
"dayalMangingAcademicLibraries2011","Manging academic libraries","include","included_by_automation","unreviewed"
"dawsonUncoveringTestingArchetypes2011","Uncovering and testing archetypes of effective public sector {CIOs}","include","included_by_automation","unreviewed"
"dawarReinforcementLearningWell2021","Reinforcement learning for well location optimization","include","included_by_automation","unreviewed"
"davisUncertaintysensitiveHeterogeneousInformation2016","Uncertainty-sensitive heterogeneous information fusion: assessing threat with soft, uncertain, and conflicting evidence","include","included_by_automation","unreviewed"
"davisPolicyExperimentsFinancial2022","Policy experiments and financial regulation: using laboratory methods to evaluate responses to the 2007–2009 financial crisis","include","included_by_automation","unreviewed"
"davisMonsterBed2011","Monster under the bed","include","included_by_automation","unreviewed"
"davisDecisionanalysisModelingEffectiveness2023","Decision-analysis modeling of effectiveness and cost-effectiveness of pharmacologic thromboprophylaxis for surgical inpatients using variable risk assessment models or other strategies","include","included_by_automation","unreviewed"
"davisGeneralRulesEnvironmental2019a","General rules for environmental management to prioritise social ecological systems research based on a value of information approach","include","included_by_automation","unreviewed"
